Year,Number of Filings (All),,Number of Registrations,Type of Filing,Number of All Filings,,,Topics in All Filings,,Topics in Registration Filing,,,Countries,Registration Filings,All Filings,Difference
,,,,,,,,,,,,,,#REF!,#REF!,#REF!
2018,78994,2018,3942,2nd Quarter Amendment Report,7910,,ALCOHOL AND DRUG ABUSE (ALC),2979,ALCOHOL AND DRUG ABUSE (ALC)(216),216,,,ANT - Antigua and Barbuda1,1,1,0
2012,24651,,,3rd Quarter Termination Amendment Report,402,,BANKING (BAN),21614,BANKING (BAN)(1226),1226,,,BAR - Barbados1,1,1,0
2009,238,,,4th Quarter Report,168953,,BUDGET/APPROPRIATIONS (BUD),150572,BUDGET/APPROPRIATIONS (BUD)(6167),6167,,,BIH - Bosnia and Herzegovina1,1,1,0
2008,68,,,4th Quarter Termination Amendment Report,633,,CHEMICALS/CHEMICAL INDUSTRY (CHM),6101,CHEMICALS/CHEMICAL INDUSTRY (CHM)(317),317,,,BMU - Bermuda1,1,1,0
2006,14,,,Mid-Year Amendment Report,11,,CLEAN AIR AND WATER (QUALITY) (CAW),18146,CLEAN AIR AND WATER (QUALITY) (CAW)(762),762,,,BRN - Bahrain1,1,1,0
,,,,,,,ENVIRONMENT/SUPERFUND (ENV),42123,ENVIRONMENT/SUPERFUND (ENV)(2133),2133,,,CYM - Cayman Islands1,1,1,0
,,,,,,,FIREARMS/GUNS/AMMUNITION (FIR),2260,FIREARMS/GUNS/AMMUNITION (FIR)(146),146,,,DEN - Denmark1,1,1,0
,,,,,,,HOMELAND SECURITY (HOM),29763,HOMELAND SECURITY (HOM)(1517),1517,,,ETH - Ethiopia1,1,1,0
,,,,,,,LAW ENFORCEMENT/CRIME/CRIMINAL JUSTICE (LAW),16726,LAW ENFORCEMENT/CRIME/CRIMINAL JUSTICE (LAW)(1047),1047,,,GHA - Ghana1,1,1,0
,,,,,,,REAL ESTATE/LAND USE/CONSERVATION (RES),6609,REAL ESTATE/LAND USE/CONSERVATION (RES)(581),581,,,ISL - Iceland1,1,1,0
,,,,,,,SMALL BUSINESS (SMB),10320,SMALL BUSINESS (SMB)(691),691,,,JAM - Jamaica1,1,1,0
,,,,,,,SPORTS/ATHLETICS (SPO),2340,SPORTS/ATHLETICS (SPO)(176),176,,,JEY - Jersey1,1,1,0
,,,,,,,TRAVEL/TOURISM (TOU),3793,TRAVEL/TOURISM (TOU)(336),336,,,LBA - Libya1,1,1,0
,,,,,,,UTILITIES (UTI),6145,UTILITIES (UTI)(344),344,,,MAR - Morocco1,1,1,0
,,,,,,,,,,,,,NCA - Nicaragua1,1,1,0
,,,,,,,,,,,,,NLD - Netherlands1,1,1,0
,,,,,,,,,,,,,PAK - Pakistan1,1,1,0
,,,,,,,,,,,,,PLE - State of Palestine1,1,1,0
,,,,,,,,,,,,,"PRK - Korea, Democratic People's Rep. North1",1,1,0
,,,,,,,,,,,,,SAU - Saudi Arabia1,1,1,0
,,,,,,,,,,,,,SEY - Seychelles1,1,1,0
,,,,,,,,,,,,,SYR - Syria1,1,1,0
,,,,,,,,,,,,,TRI - Trinidad1,1,1,0
,,,,,,,,,,,,,TUN - Tunisia1,1,1,0
,,,,,,,,,,,,,UGA - Uganda1,1,1,0
,,,,,,,,,,,,,VIR - United States Virgin Islands1,1,1,0
